game_id,week,season_type,home_team,home_points,away_team,away_points,excitement_index
401756846,1,regular,Kansas State,21,Iowa State,24,6.029094160739601
401767476,1,regular,Nicholls,20,Incarnate Word,6,5.1264992032756584
401760371,1,regular,UNLV,38,Idaho State,31,9.598561710191433
401767126,1,regular,Portland State,0,Tarleton State,42,4.943513767987275
401756847,1,regular,Kansas,31,Fresno State,7,3.7830408481663227
401757218,1,regular,Western Kentucky,41,Sam Houston,24,6.04146368507938
401767410,1,regular,Southern,14,North Carolina Central,31,3.815677850005746
401754516,1,regular,Hawai'i,23,Stanford,20,7.307567862447438
401773590,1,regular,Central Washington,41,Colorado Mesa,14,NA
401762522,1,regular,South Florida,34,Boise State,7,5.137221554324761
401752794,1,regular,Rutgers,34,Ohio,31,6.943864856309906
401767549,1,regular,Youngstown State,24,Mercyhurst,15,3.8824847904059174
401762790,1,regular,Bowling Green,26,Lafayette,7,2.717791924914604
401773488,1,regular,Saginaw Valley State,21,Northeastern State,28,NA
401773703,1,regular,Clarion,34,Wheeling,0,NA
401773470,1,regular,Michigan Tech,37,Bemidji State,17,NA
401773397,1,regular,Marian College,21,Indianapolis,45,NA
401757219,1,regular,Delaware,35,Delaware State,17,4.477316433427869
401773514,1,regular,Delta State,31,Central Missouri,23,NA
401773643,1,regular,Ferris State,34,Pittsburg St,17,NA
401762789,1,regular,Akron,0,Wyoming,10,4.853832638856986
401773633,1,regular,Wayne State (NE),21,Nebraska-Kearney,28,NA
401773667,1,regular,Seton Hill,21,Fairmont State,24,NA
401773093,1,regular,University Of Charleston (WV),39,Livingstone,10,NA
401773639,1,regular,Minnesota State Mankato,38,Northwest Missouri St,14,NA
401754373,1,regular,NC State,24,East Carolina,17,4.6509769467251365
401767446,1,regular,Indiana State,41,McKendree,24,5.330943776625397
401773691,1,regular,Walsh,38,West Liberty,10,NA
401756848,1,regular,UCF,17,Jacksonville State,10,7.405744591220826
401773478,1,regular,Northern Michigan,37,Minnesota State Moorhead,44,NA
401773065,1,regular,Wilson,7,Virginia St,35,NA
401761588,1,regular,UL Monroe,29,St. Francis (PA),0,3.5420324150475073
401767327,1,regular,Norfolk State,7,Towson,27,4.766962778982658
401767171,1,regular,Eastern Illinois,24,Dayton,14,7.113508880152246
401767209,1,regular,St. Thomas (MN),35,Lindenwood,13,6.43543178258389
401773827,1,regular,East Stroudsburg University,14,Edinboro University,29,NA
401767620,1,regular,Drake,41,Upper Iowa University,7,2.945056763997765
401777556,1,regular,University of Mary,28,Midland Lutheran College,22,NA
401773431,1,regular,Quincy,38,Concordia University St Paul,7,NA
401754517,1,regular,Duke,45,Elon,17,5.767314867159874
401767468,1,regular,Houston Christian,69,Little Rock,0,2.526594074777805
401767298,1,regular,Samford,3,West Georgia,34,3.412002605674839
401756876,1,regular,Oklahoma State,27,UT Martin,7,3.472374103395647
401752674,1,regular,Missouri,61,Central Arkansas,6,3.2619476923306743
401756852,1,regular,Houston,27,Stephen F. Austin,0,3.3544950535553952
401752793,1,regular,Minnesota,23,Buffalo,10,4.44321876439467
401777554,1,regular,Winona State,7,Minnesota Duluth,35,NA
401767369,1,regular,Northwestern State,20,Alcorn State,10,4.406877479072377
401773545,1,regular,Eastern New Mexico,28,New Mexico Highlands,34,NA
401773534,1,regular,Fort Hays State,7,Angelo State,28,NA
