defteam,games,total_plays_faced,points_allowed_calc,epa_allowed,success_rate_allowed,yards_allowed_per_play,turnovers_forced,pass_yds_allowed_pg,pass_tds_allowed,comp_pct_allowed,cpoe_allowed_avg,yac_allowed_avg,explosive_pass_rate_allowed,deep_comp_rate_allowed,sacks_forced,qb_hit_pct,tfl_forced_rate,rush_yds_allowed_pg,rush_tds_allowed,explosive_run_rate_allowed,yds_allowed_tackle,yds_allowed_guard,yds_allowed_end,third_down_allowed_pct,rz_td_allowed_efficiency,penalties_committed_pg,total_points_allowed,avg_score_diff,scramble_yards_allowed,scramble_attempts_faced,avg_scramble_yards_allowed
SEA,18,1477,286,-0.129,0.425,3.521,30,209.056,20,0.573,-2.043,5.278,0.064,0.058,49,0.079,0.09,92.833,9,0.065,358,433,357,0.31,0.121,5.944,292,12.444444444444445,329,52,6.326923076923077
HOU,19,1487,317,-0.127,0.413,3.518,33,200.684,23,0.535,-4.689,5,0.079,0.077,56,0.07,0.089,92.684,13,0.087,391,447,311,0.32,0.153,6.158,325,5.947368421052632,331,39,8.487179487179487
MIN,17,1367,309,-0.074,0.445,3.603,22,177.706,15,0.561,-4.446,5.326,0.064,0.066,49,0.071,0.1,124.118,13,0.104,684,441,507,0.316,0.094,6.176,320,1.4117647058823535,233,31,7.516129032258065
CLE,17,1357,359,-0.072,0.431,3.639,18,189.412,25,0.568,0.507,5.344,0.079,0.059,53,0.078,0.128,116.412,14,0.097,421,332,719,0.325,0.139,6.412,378,-6,181,24,7.541666666666667
NE,19,1465,327,-0.06,0.464,3.806,25,204.368,26,0.598,0.972,4.604,0.069,0.054,44,0.074,0.094,98.105,11,0.101,397,500,659,0.347,0.144,6.158,337,10.368421052631579,259,39,6.641025641025641
JAX,18,1447,351,-0.049,0.458,3.886,32,233.667,26,0.599,-0.846,4.252,0.069,0.065,33,0.066,0.076,85.222,15,0.091,310,285,444,0.374,0.141,6.556,362,7.5555555555555545,278,38,7.315789473684211
LA,19,1585,370,-0.038,0.458,4.067,30,237.316,29,0.581,-1.38,4.637,0.081,0.075,49,0.082,0.048,111.947,11,0.088,553,469,622,0.348,0.126,5.421,388,9.68421052631579,248,32,7.75
LAC,18,1356,338,-0.037,0.453,3.944,24,199,17,0.552,-4.925,5.957,0.07,0.051,50,0.07,0.108,107.444,16,0.123,416,440,585,0.312,0.102,5.444,348,1.1111111111111118,353,51,6.921568627450981
PHI,18,1467,346,-0.032,0.453,3.971,23,209.278,17,0.528,-5.443,5.265,0.081,0.063,43,0.072,0.062,121.667,20,0.108,490,581,624,0.375,0.127,6.167,338,3,345,50,6.9
DEN,18,1525,339,-0.029,0.429,3.453,21,216.056,21,0.522,-2.928,4.671,0.062,0.052,71,0.105,0.064,96.167,11,0.083,454,417,456,0.315,0.1,7.333,341,4.666666666666666,287,46,6.239130434782608
NO,17,1377,369,-0.027,0.448,3.789,21,196.235,25,0.582,-0.17,5.173,0.082,0.069,45,0.059,0.079,120.588,12,0.1,476,523,579,0.297,0.128,6.882,383,-4.5294117647058805,259,36,7.194444444444445
KC,17,1307,318,0.012,0.48,3.994,14,205.118,18,0.624,2.279,5.459,0.083,0.07,35,0.076,0.085,105.706,14,0.092,415,371,613,0.407,0.125,6.765,320,2.2941176470588234,287,40,7.175
