posteam,dist_bucket,attempts,conversions,conv_pct
ARI,1-3 yds,14,6,0.42857142857142855
ARI,4-6 yds,7,4,0.5714285714285714
ARI,7+ yds,9,2,0.2222222222222222
ATL,1-3 yds,16,9,0.5625
ATL,4-6 yds,8,3,0.42857142857142855
ATL,7+ yds,5,2,0.4
BAL,1-3 yds,16,11,0.6875
BAL,4-6 yds,5,2,0.4
BAL,7+ yds,4,2,0.5
BUF,1-3 yds,23,12,0.5217391304347826
BUF,4-6 yds,7,4,0.5714285714285714
BUF,7+ yds,3,3,1
CAR,1-3 yds,28,20,0.7142857142857143
CAR,4-6 yds,8,4,0.5
CAR,7+ yds,6,3,0.5
CHI,1-3 yds,20,10,0.5
CHI,4-6 yds,10,5,0.5
CIN,1-3 yds,15,10,0.6666666666666666
CIN,4-6 yds,4,2,0.5
CIN,7+ yds,4,2,0.5
CLE,1-3 yds,17,12,0.7058823529411765
CLE,4-6 yds,5,0,0
CLE,7+ yds,8,0,0
DAL,1-3 yds,24,16,0.6666666666666666
DAL,4-6 yds,6,5,0.8333333333333334
DAL,7+ yds,4,1,0.25
DEN,1-3 yds,16,9,0.5625
DEN,4-6 yds,3,1,0.3333333333333333
DEN,7+ yds,2,0,0
DET,1-3 yds,28,14,0.5
DET,4-6 yds,6,4,0.6666666666666666
DET,7+ yds,1,0,0
GB,1-3 yds,17,12,0.7058823529411765
GB,4-6 yds,3,2,0.6666666666666666
GB,7+ yds,5,0,0
HOU,1-3 yds,16,10,0.625
HOU,4-6 yds,3,1,0.3333333333333333
HOU,7+ yds,1,0,0
IND,1-3 yds,24,17,0.7083333333333334
IND,4-6 yds,1,1,1
IND,7+ yds,2,0,0
JAX,1-3 yds,23,15,0.6521739130434783
JAX,4-6 yds,2,1,0.5
JAX,7+ yds,4,1,0.25
KC,1-3 yds,25,21,0.84
KC,4-6 yds,4,1,0.25
KC,7+ yds,3,2,0.6666666666666666
LA,1-3 yds,26,16,0.6153846153846154
LA,4-6 yds,4,3,0.75
LA,7+ yds,2,1,0.5
LAC,1-3 yds,11,6,0.5454545454545454
LAC,4-6 yds,4,4,1
LAC,7+ yds,8,2,0.2857142857142857
LV,1-3 yds,22,10,0.45454545454545453
LV,4-6 yds,10,3,0.3
LV,7+ yds,2,0,0
MIA,1-3 yds,12,5,0.4166666666666667
MIA,4-6 yds,5,4,0.8
MIA,7+ yds,6,2,0.3333333333333333
MIN,1-3 yds,17,11,0.6470588235294118
MIN,4-6 yds,3,2,0.6666666666666666
MIN,7+ yds,6,2,0.3333333333333333
NE,1-3 yds,21,16,0.7619047619047619
NE,4-6 yds,4,2,0.5
NE,7+ yds,2,0,0
NO,1-3 yds,25,11,0.44
NO,4-6 yds,7,3,0.42857142857142855
NO,7+ yds,4,0,0
NYG,1-3 yds,23,13,0.5652173913043478
NYG,4-6 yds,11,3,0.2727272727272727
NYG,7+ yds,9,2,0.2222222222222222
NYJ,1-3 yds,20,10,0.5
NYJ,4-6 yds,9,4,0.4444444444444444
NYJ,7+ yds,12,4,0.3333333333333333
PHI,1-3 yds,13,8,0.6153846153846154
PHI,4-6 yds,6,3,0.5
PHI,7+ yds,5,0,0
PIT,1-3 yds,16,10,0.625
PIT,4-6 yds,3,1,0.3333333333333333
PIT,7+ yds,4,1,0.25
SEA,1-3 yds,11,6,0.5454545454545454
SEA,4-6 yds,2,1,0.5
SF,1-3 yds,17,13,0.7647058823529411
SF,4-6 yds,5,0,0
SF,7+ yds,1,0,0
TB,1-3 yds,19,10,0.5263157894736842
TB,4-6 yds,5,2,0.4
TB,7+ yds,7,1,0.14285714285714285
TEN,1-3 yds,17,8,0.47058823529411764
TEN,4-6 yds,9,5,0.5555555555555556
TEN,7+ yds,12,3,0.25
WAS,1-3 yds,18,13,0.7222222222222222
WAS,4-6 yds,6,2,0.3333333333333333
WAS,7+ yds,5,1,0.2
