old_game_id,posteam,total_yards,passing_yards,rushing_yards,rush_attempts,pass_attempts,completions,incompletions,avg_cpoe,total_first_downs
2025090400,DAL,307,188,119,22,33,21,13,0.17288182720993375,22
2025090400,PHI,302,144,161,35,24,19,4,21.806308776140213,20
2025090500,KC,347,249,98,17,41,24,15,-5.992776312326132,17
2025090500,LAC,394,304,94,22,37,25,9,5.788767951376298,22
2025090700,ATL,358,289,70,27,43,27,15,-5.938342639378139,23
2025090700,TB,260,159,102,22,33,17,15,-10.40131350358327,16
2025090701,CIN,141,95,46,23,26,14,9,-1.9334077835083008,11
2025090701,CLE,327,278,49,24,47,31,12,2.3742630368187303,21
2025090702,IND,418,262,156,40,30,22,7,5.388343025898113,27
2025090702,MIA,213,135,78,12,35,19,10,-6.799554536419533,12
2025090703,CAR,255,142,114,24,36,18,15,-12.371582757024209,15
2025090703,JAX,378,178,202,30,30,19,11,-4.054062428145575,19
2025090704,LV,389,333,57,23,37,24,9,9.620190027988322,20
2025090704,NE,336,276,60,18,50,30,15,2.3884448740217405,18
2025090705,ARI,276,130,146,27,34,21,8,-1.733811045515127,19
2025090705,NO,315,208,107,22,45,27,19,-4.958502839251264,20
2025090706,NYJ,394,212,182,40,24,16,6,10.39640335809617,22
2025090706,PIT,271,218,54,19,34,22,8,6.350380901632637,19
2025090707,NYG,231,157,74,23,39,17,20,-13.457901123911142,16
2025090707,WAS,432,212,223,29,33,19,11,-1.2890843481853063,24
2025090708,DEN,317,166,153,28,41,25,13,-1.6720025120554771,19
2025090708,TEN,133,62,71,21,34,12,16,-12.597031831741333,7
2025090709,SEA,230,146,84,26,23,16,7,7.339647954160516,13
2025090709,SF,384,265,121,34,36,26,7,15.341458162840675,24
2025090710,DET,246,200,47,21,43,31,7,11.339418903777476,16
2025090710,GB,266,188,79,24,22,16,6,13.074940307573836,14
2025090711,HOU,265,151,114,27,30,19,7,-0.9746561447779336,18
2025090711,LA,296,224,74,23,32,21,8,5.381516899381364,17
2025090712,BAL,432,194,238,29,21,14,5,8.720899255652176,19
2025090712,BUF,497,389,113,28,49,33,13,8.594318959448074,29
2025090800,CHI,317,198,119,26,37,21,14,-6.666884965756356,19
2025090800,MIN,256,136,120,26,25,13,6,-3.2609406113624573,14
2025091100,GB,404,269,137,28,33,19,12,10.36571275304865,22
2025091100,WAS,232,179,51,19,45,24,18,-7.198357805609703,15
2025091400,BAL,242,197,49,18,32,19,10,6.713613335575379,14
2025091400,CLE,322,207,115,22,50,28,19,-0.20086452728364595,17
2025091401,CIN,350,302,48,17,48,28,14,2.3831859577533807,24
2025091401,JAX,400,261,139,27,43,24,16,-4.982346514376203,21
2025091402,DAL,478,343,135,28,55,38,13,2.1017412153574164,30
2025091402,NYG,506,422,84,21,44,30,10,13.416483923792839,22
2025091403,CHI,339,205,134,27,37,21,11,-5.1769786711895085,19
2025091403,DET,511,334,177,30,28,23,5,14.94241633585521,25
