posteam,games,total_plays,points_scored.x,epa_per_play,success_rate,yards_per_play,turnovers,pass_yds_pg,pass_tds,comp_pct,cpoe_avg,yac_avg,explosive_pass_rate,deep_comp_rate,sacks_allowed,qb_hit_pct,tfl_rate,rush_yds_pg,rush_tds,explosive_run_rate,yds_tackle,yds_guard,yds_end,scramble_yds,scramble_atts,third_down_pct,rz_td_efficiency,penalties_pg,points_scored.y,avg_score_diff,scramble_yards,scramble_attempts,avg_scramble_yards
BUF,17,1386,469,0.119,49.3,4.714,18,234.176,29,63.2,3.819,5.91,11.2,8.3,40,5.2,4.8,159.647,30,12.4,609,792,586,439,53,40.7,15.8,5.941,475,0.167,439,53,8.283
NE,17,1363,464,0.109,49.9,4.839,16,262.294,31,65.5,10.681,4.97,12.5,11.8,48,6.7,8.3,128.882,22,10.9,382,595,678,431,64,37.4,13.7,6,484,4.727,431,64,6.734
DAL,17,1488,455,0.1,49.4,4.599,22,278.529,31,63.7,2.143,5.01,8.5,8.2,31,6.6,4.7,125.647,18,9.9,569,522,453,198,32,36.8,12.7,7.765,468,-2.448,198,32,6.188
LA,17,1407,506,0.099,53.6,4.876,15,276.882,46,62.5,1.592,4.768,11.6,11.3,23,5.6,4.7,126.588,17,11.4,571,509,466,22,7,35.8,15.9,5.941,517,3.762,22,7,3.143
GB,17,1317,391,0.093,49.6,4.4,14,226.176,26,63.1,5.95,5.076,11.2,10,29,6.3,6.3,119.824,18,11.6,504,428,672,267,36,44.4,13.9,5.294,385,0.61,267,36,7.417
SF,17,1381,431,0.088,50.9,4.431,23,254,33,65.7,5.434,4.487,8.4,7.9,27,6.1,9.1,106.882,15,9.6,391,494,448,186,27,46.7,15.5,4.765,430,0.89,186,27,6.889
IND,17,1340,460,0.086,49.6,4.471,22,240.294,25,61.9,0.564,5.019,7.6,8.1,29,6.2,7,117.882,27,10.8,495,375,397,174,25,38.8,16.4,6,460,1.119,174,25,6.96
DET,17,1394,473,0.069,48.7,4.656,15,268.647,35,63.4,1.544,6.119,10.6,7.4,39,8.7,9.3,120.059,21,9.9,695,370,495,48,6,36.7,14.7,5.294,470,0.444,48,6,8
JAX,17,1439,448,0.055,47.8,4.066,18,236.824,29,56.8,-1.713,4.785,9.4,8.3,41,5.9,8.4,115.059,22,9.8,278,291,669,310,47,35.7,14.9,7.353,466,3.313,310,47,6.596
CHI,17,1452,429,0.053,47.4,4.418,11,234.765,28,55.5,-3.426,5.539,10,8.1,24,4.7,7.3,144.176,19,13.2,717,604,826,370,50,38.6,12.8,7.118,435,-0.757,370,50,7.4
SEA,17,1337,447,0.047,50,4.571,26,239,25,63.7,4.955,5.52,11.2,9.4,27,4.6,10,123.294,19,10.8,429,507,658,89,15,36.8,12.3,6.529,480,5.405,89,15,5.933
BAL,17,1303,412,0.045,48.9,4.438,22,192.824,23,59.3,2.992,4.896,9.2,8.1,45,6.5,6.5,156.588,23,14,627,641,1071,303,39,36.9,10.9,5.588,423,-0.921,303,39,7.769
KC,17,1379,362,0.039,46.8,4.053,15,232.176,23,57.3,-0.888,5.813,8.2,6.2,47,9.1,4.9,106.588,15,10.2,391,484,591,450,65,34.2,13.8,6.588,357,-0.23,450,64,7.031
PIT,17,1309,377,0.037,47,4.064,15,213.647,26,62.6,0.59,6.501,7,4.5,31,4.9,9.1,103.294,16,10.8,511,287,703,71,15,36.7,12.9,5.824,396,-0.214,71,15,4.733
CIN,17,1405,408,0.032,49.3,4.049,24,249.647,36,60.6,1.219,4.687,6.9,5.6,36,7.2,5,93.588,11,9.7,365,595,270,75,15,40,17.4,6.294,407,-3.388,75,14,5.357
DEN,17,1421,389,0.029,46.2,4.19,15,231.235,25,60.5,-1.326,5.394,7.3,6.2,23,5,7.9,118.706,18,11.2,489,430,763,307,37,38.6,13.3,6.471,394,0.315,307,37,8.297
NYG,17,1434,375,0.026,45.4,4.025,17,217.824,21,56,-0.844,5.471,9,7.1,48,7.9,6.4,129.118,22,11.5,663,529,393,392,53,33.7,11.5,8.471,379,-1.896,392,53,7.396
WAS,17,1329,342,0.024,48.5,4.151,22,195.824,19,56.3,0.68,4.979,7.8,8,37,5.9,9.2,134.706,20,12.3,702,444,627,463,68,32.1,14.7,7.294,346,-5.536,463,68,6.809
PHI,17,1340,361,0.012,45.3,4.04,14,205.765,26,59.6,3.038,4.292,7.9,7.7,35,4.4,11.3,116.941,17,11.5,672,415,662,278,47,33.6,14.6,5.882,379,2.439,278,47,5.915
MIA,17,1255,339,0.007,46.5,4.175,25,195.412,23,61.9,1.655,5.59,8.3,5.6,38,5.3,11.6,120.235,14,12.7,492,276,892,68,15,33.2,13.4,5,347,-2.049,68,15,4.533
TB,17,1420,366,-0.002,45.7,3.927,17,220.882,26,58.3,-2.483,5.627,9.1,6.8,38,4,8.2,114.529,13,10.1,488,566,453,379,44,36.9,12.8,7.118,375,-2.099,379,44,8.614
HOU,17,1436,380,-0.003,44.6,3.966,13,232.706,24,58.9,-1.558,4.489,7.8,5.8,31,5.6,8.6,108.941,9,9,341,608,417,261,35,34.7,10.3,6.824,397,1.698,261,34,7.676
LAC,17,1424,366,-0.013,46.5,4.064,21,232.529,26,58.3,0.531,4.801,7.2,6,60,9.8,9.9,121.588,10,10.9,583,306,680,514,57,42.4,11.6,6.235,362,-1.062,514,57,9.018
ATL,17,1389,347,-0.017,46.8,4.165,19,217.824,19,57.8,-3.217,5.636,8.2,6.6,26,5.4,9.6,125.765,17,11.3,914,459,509,85,15,29.9,15.6,6.471,350,-1.358,85,15,5.667
CAR,17,1317,299,-0.018,46.3,3.873,23,194.353,24,59.5,1.419,4.951,7.8,5.8,35,6.6,5.4,116.294,9,9.7,369,450,613,221,38,32.6,11.6,5.941,304,-4.89,221,38,5.816
ARI,17,1416,341,-0.021,46.4,3.98,21,256.118,29,60.1,1.034,4.944,6.9,6.9,59,9.3,10.1,93.118,9,9.5,349,187,570,291,43,38.1,14.5,6.471,354,-5.484,291,42,6.929
NYJ,17,1336,280,-0.054,45.7,3.404,24,163.765,15,53.3,-4.105,4.44,4.8,3.8,60,8.8,10.7,123.294,11,11.5,451,473,659,427,58,32.9,9.5,5.824,294,-10.162,427,58,7.362
MIN,17,1271,332,-0.072,44.9,3.749,29,188.706,18,54.4,-2.946,5.138,7.1,7.8,60,9.8,8.3,108.294,15,12.9,353,312,655,229,29,28.8,14.7,6.824,340,-1.109,229,29,7.897
NO,17,1399,288,-0.096,44.1,3.87,23,236.882,19,61.9,1.586,4.283,5.1,6.1,49,6,8.7,94.294,9,7.8,288,490,430,239,42,36.5,10.6,6.882,304,-7.168,239,42,5.69
TEN,17,1347,264,-0.107,41.7,3.336,21,190.647,15,54.3,-3.505,4.785,6.5,5.4,56,8.3,7.7,93.471,9,10.6,368,316,470,151,25,28.9,13.2,6.176,274,-7.273,151,24,6.292
LV,17,1263,239,-0.155,42.9,3.374,23,195,20,58.5,-1.019,5.312,6.4,4.8,64,9.1,14.9,77.471,5,8.4,281,487,242,139,24,31.2,11.1,6.118,237,-6.99,139,24,5.792
CLE,17,1371,255,-0.159,38.2,3.302,25,185.412,16,52.9,-5.681,5.297,5.7,4.6,51,9.9,9.9,97,10,9.7,385,413,464,271,34,29.9,11.3,7.294,272,-4.096,271,34,7.971
