rusher_id,rusher,team,games_played,carries,total_rush_yds,ypc,rush_success,rush_success_rate,tds,yds_at_tackle,yds_at_guard,yds_at_end,explosive_runs,d3_touch_pct,d4_touch_pct,fumbles,avg_wpa,receiver,receptions,total_rec_yds,ypr,rec_success,pass_success_rate,rush_attempts_d1,rush_attempts_d2,rush_attempts_d3,rush_attempts_d4,rush_yds_d1,rush_yds_d2,rush_yds_d3,rush_yds_d4
00-0032764,D.Henry,BAL,17,307,1595,5.195,128,41.694,16,514,471,442,36,8.469,0.977,5,-0,D.Henry,15,150,10,11,73.333,175,105,26,3,1045,445,101,4
00-0033280,C.McCaffrey,SF,19,337,1285,3.813,132,39.169,10,262,420,244,28,9.496,0.297,1,-0.002,C.McCaffrey,113,1009,8.929,79,69.912,207,101,33,1,784,364,137,0
00-0033923,K.Hunt,KC,17,163,611,3.748,78,47.853,8,178,228,44,10,19.018,7.975,2,0.004,K.Hunt,18,143,7.944,11,61.111,81,39,31,13,352,115,108,36
00-0034844,S.Barkley,PHI,17,306,1246,4.072,117,38.235,7,464,307,332,29,7.19,0,0,-0.001,S.Barkley,40,298,7.45,20,50,189,101,23,0,715,401,130,0
00-0035261,T.Pollard,TEN,17,242,1082,4.471,95,39.256,5,304,249,275,27,6.612,0.413,3,-0.003,T.Pollard,33,206,6.242,17,51.515,150,81,17,1,698,348,36,0
00-0035685,D.Montgomery,DET,17,158,716,4.532,68,43.038,8,297,176,96,15,10.759,1.266,2,0.001,D.Montgomery,24,192,8,15,62.5,86,58,17,2,358,308,47,3
00-0035700,J.Jacobs,GB,16,253,984,3.889,109,43.083,13,252,239,231,24,12.253,0.791,3,-0,J.Jacobs,37,285,7.703,22,59.459,139,87,31,2,524,351,114,-5
00-0036139,R.Dowdle,CAR,18,241,1085,4.502,101,41.909,6,214,314,255,24,6.224,3.32,1,0.002,R.Dowdle,40,303,7.575,20,50,149,73,15,8,694,299,63,29
00-0036158,J.Dobbins,DEN,10,153,772,5.046,70,45.752,4,235,185,249,21,5.229,0,0,0.002,J.Dobbins,11,37,3.364,4,36.364,97,53,8,0,556,200,16,0
00-0036223,J.Taylor,IND,17,322,1583,4.916,143,44.41,18,455,329,214,36,9.317,2.174,1,-0.001,J.Taylor,46,378,8.217,25,54.348,184,109,32,7,882,532,153,16
00-0036275,D.Swift,CHI,18,255,1217,4.773,119,46.667,10,358,398,351,32,14.51,0.392,2,0.001,D.Swift,36,328,9.111,20,55.556,125,94,38,1,608,458,142,9
00-0036875,R.Stevenson,NE,16,156,726,4.654,59,37.821,7,197,236,118,17,10.256,1.282,2,0,R.Stevenson,39,431,11.051,22,56.41,90,50,16,2,361,297,58,10
00-0036973,T.Etienne,JAX,18,270,1174,4.348,100,37.037,7,217,187,391,28,5.926,0.741,0,0.001,T.Etienne,41,341,8.317,26,63.415,182,98,18,2,851,365,50,6
00-0036997,J.Williams,DAL,16,252,1201,4.766,115,45.635,11,414,355,117,26,4.762,1.19,1,0.002,J.Williams,35,137,3.914,13,37.143,170,80,14,3,849,336,33,6
00-0037228,J.Warren,PIT,17,223,1001,4.489,95,42.601,6,313,208,312,25,8.072,0,1,0,J.Warren,41,337,8.22,23,56.098,125,85,18,0,595,364,42,0
00-0037248,J.Cook,BUF,19,348,1784,5.126,156,44.828,12,498,548,268,45,4.885,0.287,7,-0,J.Cook,37,320,8.649,18,48.649,241,96,17,1,1175,537,74,-2
00-0037525,J.Mason,MIN,16,159,758,4.767,74,46.541,6,174,149,206,22,8.176,1.258,2,-0.001,J.Mason,14,51,3.643,5,35.714,101,48,14,2,513,217,20,8
00-0037840,K.Williams,LA,19,293,1396,4.765,146,49.829,12,402,444,185,28,10.239,3.754,2,-0,K.Williams,42,329,7.833,25,59.524,171,93,31,11,795,471,100,43
00-0038120,B.Hall,NYJ,16,243,1065,4.383,99,40.741,4,265,313,196,26,6.996,1.235,2,-0.003,B.Hall,36,350,9.722,27,75,132,96,17,3,719,270,83,-7
00-0038134,K.Walker,SEA,18,240,1143,4.763,96,40,8,213,350,402,36,6.25,0,0,0,K.Walker,34,311,9.147,18,52.941,148,89,15,0,729,299,115,0
00-0038542,B.Robinson,ATL,17,287,1478,5.15,118,41.115,7,631,322,374,36,7.317,0.348,3,-0.002,B.Robinson,79,820,10.38,56,70.886,232,132,26,2,1269,517,95,1
00-0038597,C.Brown,CIN,17,232,1019,4.392,93,40.086,6,275,362,116,24,5.172,0.431,1,-0.001,C.Brown,69,414,6,37,53.623,155,73,12,1,704,276,35,4
00-0039040,D.Achane,MIA,16,238,1350,5.672,91,38.235,8,333,167,651,40,5.462,0,1,0.003,D.Achane,67,481,7.179,35,52.239,140,88,13,0,729,541,80,0
00-0039139,J.Gibbs,DET,17,243,1223,5.033,97,39.918,13,385,194,325,27,8.642,2.058,2,0.001,J.Gibbs,77,613,7.961,46,59.74,135,88,21,5,658,473,88,4
00-0039165,Z.Charbonnet,SEA,17,189,750,3.968,78,41.27,12,174,160,163,13,16.931,0.529,0,-0,Z.Charbonnet,20,144,7.2,11,55,90,66,32,1,337,293,120,0
00-0039361,B.Irving,TB,10,173,588,3.399,60,34.682,1,178,203,57,11,8.671,0.578,1,-0.003,B.Irving,30,277,9.233,14,46.667,102,59,15,1,363,196,36,-7
00-0039384,T.Tracy,NYG,15,176,740,4.205,65,36.932,2,253,229,129,19,6.25,0,0,-0.003,T.Tracy,36,288,8,19,52.778,96,71,11,0,377,319,44,0
00-0039391,K.Vidal,LAC,13,166,674,4.06,58,34.94,3,142,133,245,14,9.639,0.602,1,-0.001,K.Vidal,18,156,8.667,11,61.111,104,48,17,1,380,148,146,0
00-0039738,B.Corum,LA,19,162,810,5,81,50,6,240,116,194,23,4.938,0.617,0,0.001,B.Corum,10,49,4.9,4,40,102,54,8,1,521,281,7,1
00-0040122,A.Jeanty,LV,17,266,975,3.665,85,31.955,5,183,440,111,24,7.895,2.256,1,-0.004,A.Jeanty,55,346,6.291,27,49.091,149,98,22,6,526,389,65,-5
00-0040236,K.Monangai,CHI,18,189,846,4.476,84,44.444,5,309,239,144,16,12.698,1.587,0,0.002,K.Monangai,23,222,9.652,16,69.565,101,64,24,3,460,289,92,5
00-0040242,J.Croskey-Merritt,WAS,17,175,805,4.6,75,42.857,8,290,246,122,21,3.429,0,3,-0.001,J.Croskey-Merritt,9,68,7.556,6,66.667,124,49,7,0,545,248,12,0
00-0040583,W.Marks,HOU,18,229,832,3.633,83,36.245,3,224,272,156,18,8.734,1.31,2,-0.001,W.Marks,26,227,8.731,16,61.538,139,77,21,3,449,303,74,6
00-0040730,R.Harvey,DEN,18,152,560,3.684,54,35.526,7,144,145,138,9,5.921,1.974,1,-0.001,R.Harvey,52,402,7.731,33,63.462,84,59,9,3,320,217,21,2
00-0040734,T.Henderson,NE,19,201,963,4.791,80,39.801,9,182,289,320,19,4.478,0.995,1,0.001,T.Henderson,37,228,6.162,21,56.757,128,68,9,2,612,301,48,2
00-0040784,Q.Judkins,CLE,14,230,827,3.596,76,33.043,7,206,272,119,18,7.826,2.609,0,-0.004,Q.Judkins,26,171,6.577,10,38.462,134,80,18,7,525,238,53,11
