receiver_id,receiver,team,games_played,receptions,total_rec_yds,ypr,rec_success,rec_success_rate,tds,explosive_receptions,d3_rec_pct,d4_rec_pct,fumbles,avg_wpa,receptions_down_1,receptions_down_2,receptions_down_3,receptions_down_4
00-0030061,Z.Ertz,WAS,12,50,504,10.08,36,72,4,5,18,8,1,0.022,18,32,22,7
00-0030279,K.Allen,LAC,17,81,777,9.593,66,81.481,4,6,41.975,1.235,2,0.024,26,47,51,3
00-0030506,T.Kelce,KC,17,76,851,11.197,63,82.895,5,9,18.421,2.632,1,0.027,38,49,23,2
00-0031381,D.Adams,LA,14,60,789,13.15,57,95,14,14,21.667,0,0,0.042,42,40,39,0
00-0031408,M.Evans,TB,7,30,368,12.267,29,96.667,3,5,13.333,3.333,0,0.035,45,33,17,2
00-0031588,S.Diggs,NE,17,85,1013,11.918,69,81.176,4,17,23.529,8.235,0,0.028,33,32,35,9
00-0032211,T.Lockett,TEN,14,32,291,9.094,22,68.75,1,2,40.625,3.125,0,0.012,7,23,30,2
00-0032385,S.Shepard,TB,13,39,371,9.513,25,64.103,1,5,33.333,2.564,1,0.018,12,17,24,4
00-0033090,H.Henry,NE,17,60,768,12.8,55,91.667,7,11,26.667,1.667,0,0.029,31,33,28,1
00-0033110,T.Higbee,LA,8,25,281,11.24,21,84,3,6,24,0,0,0.021,10,13,12,1
00-0033280,C.McCaffrey,SF,17,102,904,8.863,71,69.608,7,6,21.569,0.98,1,0.019,48,52,27,3
00-0033288,G.Kittle,SF,10,57,628,11.018,47,82.456,7,9,24.561,1.754,0,0.019,26,25,18,3
00-0033293,A.Jones,MIN,10,28,199,7.107,15,53.571,1,1,17.857,0,1,0.007,19,16,10,1
00-0033307,K.Bourne,SF,12,37,551,14.892,34,91.892,0,5,16.216,2.703,0,0.031,24,15,13,1
00-0033555,M.Hollins,NE,14,46,550,11.957,41,89.13,2,8,15.217,2.174,1,0.025,25,24,16,2
00-0033857,J.Smith-Schuster,KC,14,33,345,10.455,29,87.879,1,3,24.242,0,1,0.022,19,15,15,0
00-0033858,J.Smith,PIT,14,38,222,5.842,25,65.789,2,1,28.947,0,1,0.001,20,21,15,0
00-0033881,E.Engram,DEN,15,50,461,9.22,30,60,1,4,24,2,0,0.021,28,26,24,1
00-0033885,D.Njoku,CLE,11,33,293,8.879,22,66.667,4,2,27.273,0,0,0.021,21,14,14,1
00-0033906,A.Kamara,NO,11,33,186,5.636,13,39.394,0,2,21.212,3.03,1,-0.004,16,15,8,2
00-0033908,C.Kupp,SEA,16,47,593,12.617,39,82.979,2,8,29.787,0,1,0.02,31,17,25,2
00-0033921,C.Godwin,TB,9,33,360,10.909,28,84.848,2,5,30.303,3.03,0,0.025,14,17,19,2
00-0033955,J.McNichols,WAS,13,25,196,7.84,15,60,0,1,28,4,0,0.017,11,8,11,2
00-0034348,C.Sutton,DEN,17,74,1017,13.743,66,89.189,7,17,37.838,5.405,0,0.043,36,37,55,5
00-0034351,D.Goedert,PHI,15,60,591,9.85,48,80,11,7,18.333,0,0,0.021,35,33,17,1
00-0034383,D.Schultz,HOU,17,82,777,9.476,62,75.61,3,5,29.268,0,1,0.02,39,40,35,0
00-0034753,M.Andrews,BAL,17,48,422,8.792,35,72.917,5,3,27.083,4.167,1,0.02,29,23,22,3
00-0034775,C.Kirk,HOU,11,28,239,8.536,18,64.286,1,3,39.286,7.143,0,0.012,15,16,22,2
00-0034827,D.Moore,CHI,16,50,667,13.34,39,78,6,12,24,2,0,0.025,38,25,21,4
00-0034829,M.Gesicki,CIN,12,28,307,10.964,24,85.714,2,2,28.571,3.571,0,0.024,13,17,11,5
00-0034844,S.Barkley,PHI,12,37,273,7.378,19,51.351,2,2,16.216,0,1,0.002,21,23,7,0
00-0034960,J.Meyers,LV,16,75,835,11.133,65,86.667,3,10,32,0,1,0.021,43,32,35,2
00-0035208,O.Zaccheaus,CHI,13,39,313,8.026,28,71.795,2,1,38.462,0,0,0.018,21,23,21,1
00-0035229,T.Hockenson,MIN,15,51,438,8.588,33,64.706,3,3,11.765,1.961,0,0.009,23,31,14,1
00-0035261,T.Pollard,TEN,14,33,206,6.242,17,51.515,0,1,9.091,0,1,0,18,20,6,1
00-0035500,G.Dortch,ARI,10,29,206,7.103,13,44.828,3,1,31.034,0,0,0.012,12,12,11,1
00-0035535,D.Slayton,NYG,13,37,538,14.541,31,83.784,1,7,13.514,2.703,1,0.024,28,24,15,3
00-0035640,D.Metcalf,PIT,15,59,850,14.407,49,83.051,6,15,20.339,1.695,0,0.032,44,33,27,3
00-0035644,N.Fant,CIN,12,34,288,8.471,23,67.647,3,3,17.647,0,3,0,27,8,6,0
00-0035659,T.McLaurin,WAS,10,38,582,15.316,37,97.368,3,7,28.947,5.263,0,0.027,18,24,21,4
00-0035662,M.Brown,KC,15,49,587,11.98,40,81.633,5,7,18.367,4.082,2,0.024,29,25,22,3
00-0035676,A.Brown,PHI,15,78,1003,12.859,64,82.051,7,14,29.487,1.282,0,0.03,40,48,38,4
